latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
34.9695662,-78.9353504,34.9695662,-78.9353504,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Anthony Gotvald,Marker,Phone/Car GPS,NAD83,Eric Frantz,Anthony Gotvald,NCCUM26897,House on Booker Place,,,NC,Cumberland County,,No,34.9695662,-78.9353504,33506,Little Rockfish Creek,26897,283,5,2,"Seed line along side of house, marked on SE corner of house near garage. Flagging tape hung on vertical gutter near garage.",9/21/2018 4:00:00 AM,97.84,2,6,N/A,18054,4,4.49,3,,Level III survey,Riverine,9/20/2018 4:00:00 AM,1,2,5,6,0.1,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.1998591,-78.9602956,35.1998591,-78.9602956,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Paul Ankcorn,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Paul Ankcorn,NCCUM26903,Heritage at Fort Bragg Apartments,,,NC,Cumberland County,,No,35.1998591,-78.9602956,33508,Little River,26903,283,5,2,"Good seed line on white support beam of outdoor patio, located on the northeast corner of the building. Building is located on back of the property near the playground.",9/23/2018 4:00:00 AM,155.21,2,6,N/A,18074,6,5.38,3,,Level II Survey,Riverine,9/21/2018 4:00:00 AM,0,2,1715,873,0.2,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.405381,-78.022587,35.405381,-78.022587,2018 Florence,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Marker,Map (digital or paper),WGS84 (from Digital Map),Anthony Gotvald,Anthony Gotvald,NCWAY18771,Old boat store at 151 Claridge Nursery Rd.,,,NC,Wayne County,,No,35.405274,-78.022734,33509,Little River,18771,283,5,3,Seed line on electrical box at corner of property by road. Mark supported by other fair marks on telephone pole and telephone box.,9/21/2018 4:00:00 AM,74.23,2,6,N/A,18052,4,1.72,4,,Level II Survey. Estimated HWM location from photos and Google Earth.,Riverine,9/20/2018 4:00:00 AM,0,4,6,6,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.1940704,-78.9853602,35.1940704,-78.9853602,2018 Florence,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCCUM18785,Little River Rd at E Manchester Rd,,,NC,Cumberland County,,No,35.19355,-78.98549,33510,Little River,18785,283,5,1,Seed line on powerpole located 200 ft NE of USGS gage 02103000,9/22/2018 4:00:00 AM,160.86,2,6,N/A,18056,6,1,3,,Level III Survey,Riverine,9/21/2018 4:00:00 AM,0,2,1715,6,0.09,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
34.9663799,-78.9171345,34.9663799,-78.9171345,2018 Florence,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Eric Frantz,Anthony Gotvald,NCCUM26898,House SE of Cameron Rd bridge at Little Rockfish Crk,,,NC,Cumberland County,,No,34.9663799,-78.9171345,33511,Little Rockfish Creek,26898,283,5,3,"Seed line located on large tree in front yard of dilapidated house, SE of bridge. Flagging tape used. No address on property.",9/21/2018 4:00:00 AM,87.29,2,6,N/A,18048,6,1.42,3,,Level III Survey,Riverine,9/20/2018 4:00:00 AM,1,2,5,6,0.1,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.42691,-78.01758,35.42691,-78.01758,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCWAY18784,NC Greensboro Forest Center,,,NC,Wayne County,,No,35.42691,-78.01758,33512,Little River,18784,283,5,2,"Seed line at base of power pole behind ""office"" building near river crane",9/21/2018 4:00:00 AM,81.81,2,6,N/A,18053,6,0.41,3,,Level II Survey,Riverine,9/20/2018 4:00:00 AM,0,2,1715,6,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
34.961645,-78.9243248,34.961645,-78.9243248,2018 Florence,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Paint,Phone/Car GPS,NAD83,Eric Frantz,Anthony Gotvald,NCCUM26900,Calico St at Rockfish Creek,,,NC,Cumberland County,,No,34.961645,-78.9243248,33513,Rockfish Creek,26900,283,5,3,"Seed line on downstream right wingwall at SE corner of bridge, across the street from Cotton Fire Station 4.",9/21/2018 4:00:00 AM,92.2,2,6,N/A,18050,3,2.14,3,,Level III Survey,Riverine,9/20/2018 4:00:00 AM,0,2,5,6,0.1,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
34.9608799,-78.9419533,34.9608799,-78.9419533,2018 Florence,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Anthony Gotvald,Marker,Phone/Car GPS,NAD83,Eric Frantz,Anthony Gotvald,NCCUM26902,MIll Bridge Rd just S of Republic Ave,,,NC,Cumberland County,,No,34.9608799,-78.9419533,33514,Rockfish Creek,26902,283,5,1,HMW seed line on large yellow square concrete barrier towards end of MIll Bridge Rd.,9/22/2018 4:00:00 AM,93.53,2,6,N/A,18058,4,1.62,3,,Level III Survey,Riverine,9/20/2018 4:00:00 AM,0,2,5,6,0.09,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.35355,-78.007,35.35355,-78.007,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Steve Harden,Marker,Phone/Car GPS,WGS84 (from Digital Map),Cristal Younker,Gerard Gonthier,NCWAY18751,House on South John St,,,NC,Wayne County,,No,35.353753,-78.006687,33515,Neuse River,18751,283,5,2,Seed line found behind backside of red brick house near crawl space access; southeast corner of house.,9/26/2018 4:00:00 AM,70.53,2,6,N/A,19310,4,0.44,3,,Level II survey,Riverine,9/20/2018 4:00:00 AM,0,4,1715,1919,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.5619444444444,-79.0855555555555,33.5619444444444,-79.0855555555555,2018 Florence,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCGEO14325,"WACCAMAW R. AT WACCA WACHE MARINE, MURRELLS INL SC",,South Atlantic,SC,Georgetown County,,No,33.5619444444444,-79.0855555555555,33516,Waccamaw River,14325,283,5,3,On sheetpile 1.5 ft east of storm surge bracket.,9/20/2018 4:00:00 AM,5.83,2,6,N/A,19022,4,6.86,3,,This HWM used for verification of storm surge.,Coastal,9/18/2018 4:00:00 AM,0,2,1381,1381,0.004,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.3482,-77.99481,35.3482,-77.99481,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCWAY18793,Case Farms Chicken on Westbrook Rd,,,NC,Wayne County,,No,35.3482,-77.99466,33517,Neuse River,18793,283,5,2,Telephone pole south side entrance of Case Farms Chicken. Seed line north side of telephone pole.,9/21/2018 4:00:00 AM,69.58,2,6,N/A,18066,6,0.69,3,,Level II Survey,Riverine,9/20/2018 4:00:00 AM,0,2,1715,6,0.01,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.385409,-78.037678,35.385409,-78.037678,2018 Florence,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Steve Harden,Marker,Phone/Car GPS,NAD83,Anthony Gotvald,Anthony Gotvald,NCWAY26899,Neuse Correctional Institution sign,,,NC,Wayne County,,No,35.38556,-78.03778,33518,Neuse River,26899,283,5,1,HWM at base of Neuse Correctional Institute sign between parking lot and road.,9/21/2018 4:00:00 AM,73.9,2,6,N/A,19272,4,0.37,3,,Level III Survey. Estimated HWM location from photos and Google Earth.,Riverine,9/20/2018 4:00:00 AM,0,2,6,6,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.348886,-77.980361,35.348886,-77.980361,2018 Florence,Mud,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Stake,Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCWAY18792,S. Slocumb St at gate to Seymour Johnson AFB,,,NC,Wayne County,,No,35.34882,-77.98025,33519,Stoney Creek,18792,283,1,3,Mud line on walkway and grass. Marked approximately 30 ft NW of boardwalk.,9/21/2018 4:00:00 AM,69.2,2,6,N/A,18065,7,0,3,,Level II Survey,Riverine,9/20/2018 4:00:00 AM,0,2,1715,6,0.01,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.339583,-78.030802,35.339583,-78.030802,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Anthony Gotvald,Other (Note in Description box),Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCWAY26904,Parking lot east of Neuse River Cleaners.,,,NC,Wayne County,,No,35.339583,-78.030802,33520,Neuse River,26904,283,5,2,Seed line in parking lot on 5th employee of the month post from building with teal awning and behind dry cleaners.,9/21/2018 4:00:00 AM,71.36,2,6,N/A,18067,9,0.68,3,,Level II Survey,Riverine,9/21/2018 4:00:00 AM,0,2,1715,6,0.01,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.360298,-77.975548,35.360298,-77.975548,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Paul Ankcorn,Marker,Phone/Car GPS,NAD83,Cristal Younker,Paul Ankcorn,NCWAY18791,Residence on Stephens Ct,,,NC,Wayne County,,No,35.3602,-77.97533,33521,Stoney Creek,18791,283,5,2,Seed line marked on house foundation,9/22/2018 4:00:00 AM,77.17,2,6,Right,18092,4,0.58,3,,Level II Survey. Estimated HWM location from photos and Google Earth.,Riverine,9/22/2018 4:00:00 AM,0,2,1715,873,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.1971703,-78.9888122,35.1971703,-78.9888122,2018 Florence,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCCUM26905,Little River Road at Edward Mentor Park,,,NC,Cumberland County,,No,35.1971703,-78.9888122,33522,Little River,26905,283,5,1,"Seed line on pillar of guard rail, located 33 ft NW of power pole and 180 ft south of red Edward Mentor Municipal Park sign.",9/23/2018 4:00:00 AM,160.14,2,6,N/A,18059,6,1.33,3,,Level III survey,Riverine,9/21/2018 4:00:00 AM,0,2,1715,6,0.09,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.4708333333333,-79.1011111111111,33.4708333333333,-79.1011111111111,2018 Florence,Vegetation line,VP: > 0.40 ft,NAVD88,RT-GNSS,Andy Caldwell,Stake,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCGEO14318,"CLUB HOUSE CRK AT S-302 AT LITCHFIELD BEACH, SC",,South Atlantic,SC,Georgetown County,,No,33.4708333333333,-79.1011111111111,33523,Club House Creek,14318,283,4,5,Near storm surge bracket.,9/21/2018 4:00:00 AM,,2,6,N/A,19019,7,0,3,,This HWM used for verification of storm surge. No peak was seen on wl sensor so impossible to compare. HWM most likely from high tide before storm.,Coastal,9/18/2018 4:00:00 AM,0,2,1381,1381,0.14,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.375728,-77.961807,35.375728,-77.961807,2018 Florence,Mud,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),Cristal Younker,Anthony Gotvald,NCWAY18773,Stoney Creek Park off E Ash St,,,NC,Wayne County,,No,35.375728,-77.961807,33524,Stoney Creek,18773,283,1,3,"HWM mud line on tree NW of gravel parking lot, approx 100 ft along trail closest to Ash St",9/21/2018 4:00:00 AM,77.34,2,6,N/A,18063,6,0.41,3,,Level II Survey. Estimated HWM location from photos and Google Earth.,Riverine,9/21/2018 4:00:00 AM,0,4,1715,6,0.01,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3675,-79.1691666666667,33.3675,-79.1691666666667,2018 Florence,Seed line,VP: > 0.40 ft,NAVD88,RT-GNSS,Andy Caldwell,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCGEO14323,DEBIDUE CRK @ DEBORDIEU ISL BT RP NR GEORGETOWN SC,,South Atlantic,SC,Georgetown County,,No,33.3675,-79.1691666666667,33525,Debidue Creek,14323,283,5,5,Seed line on side wall to boat ramp next to storm surge bracket.,9/21/2018 4:00:00 AM,,2,6,N/A,19021,4,1.88,3,,"Bad HWM, did not use as verification of storm surge.",Coastal,9/18/2018 4:00:00 AM,0,2,1381,1381,0.19,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.5547222222222,-79.0341666666667,33.5547222222222,-79.0341666666667,2018 Florence,Vegetation line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Stake,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCGEO14320,"PARSONAGE CREEK AT BELIN UMC NR MURRELLS INLET,SC",,South Atlantic,SC,Georgetown County,,No,33.5547222222222,-79.0341666666667,33526,Parsonage Creek,14320,283,4,3,Debris line just to the right of boat landing near storm surge sensor.,9/21/2018 4:00:00 AM,4.08,2,6,N/A,19020,7,0,3,,This HWM used for storm surge verification.,Coastal,9/18/2018 4:00:00 AM,0,2,1381,1381,0.14,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
32.94,-79.6572222222222,32.94,-79.6572222222222,2018 Florence,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCCHA14308,"AIW AT GARRIS LANDING NEAR BULLS ISLAND,SC",,South Atlantic,SC,Charleston County,,Yes,32.94,-79.6572222222222,33527,AIW,14308,283,5,3,Seed line on aluminum sheet pile near storm surge bracket.,9/21/2018 4:00:00 AM,4.36,2,6,N/A,19016,4,1.58,3,,This HWM used for verification of storm surge.,Coastal,9/18/2018 4:00:00 AM,0,2,1381,1381,0.01,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
32.8155555555556,-79.8088888888889,32.8155555555556,-79.8088888888889,2018 Florence,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Andy Caldwell,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCCHA14302,"MARSH CREEK AT SC 517 NEAR ISLE OF PALMS, SC",,South Atlantic,SC,Charleston County,,Yes,32.8155555555556,-79.8088888888889,33528,Marsh Creek,14302,283,2,4,Debris line under bridge near storm surge sensor.,9/21/2018 4:00:00 AM,,2,6,N/A,19014,,0,3,,"A HWM was flagged for storm surge verification (6.9 ft). After careful review, it was noticed that this was an old debris line from Sep. 8 and 9 high tide (check NOAA tidal gage 8665530).",Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.04,,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
32.7897222222222,-79.7883333333333,32.7897222222222,-79.7883333333333,2018 Florence,Stain line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCCHA14301,"Hamlin Creek at SC 517 near Isle of Palms, SC",,South Atlantic,SC,Charleston County,,No,32.7897222222222,-79.7883333333333,33529,Hamlin Creek,14301,283,6,3,Stain line on first set of piers on creek side.,9/21/2018 4:00:00 AM,4.87,2,6,N/A,19013,4,2.39,3,,This HWM is for verification of storm surge.,Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.01,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
32.7669444444444,-79.9738888888889,32.7669444444444,-79.9738888888889,2018 Florence,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Andy Caldwell,Stake,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCCHA14298,"Wappoo Creek at SC 171 near James Island, SC",,South Atlantic,SC,Charleston County,,No,32.7669444444444,-79.9738888888889,33530,Wappoo Creek,14298,283,2,4,,9/21/2018 4:00:00 AM,4.85,2,6,N/A,19012,7,0,3,,This HWM for storm surge verification.,Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.04,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.193238,-78.987375,35.193238,-78.987375,2018 Florence,Mud,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,,Dennis Kluesner,NCCUM18675,Presbyterian Church of the Covenant,,,NC,Cumberland County,,No,35.19314,-78.98728,33531,Little River,18675,283,1,2,Mud line located on right side of angle roof support on building closest to NC Hwy 24. HWM is 44 ft NE of Hurricane Matthew HWM in powerpole.,9/22/2018 4:00:00 AM,161.24,2,6,N/A,18057,6,8.9,3,,Level III Survey,Riverine,9/21/2018 4:00:00 AM,0,2,,1829,0.09,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.1861926,-79.0157895,35.1861926,-79.0157895,2018 Florence,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Dennis Kluesner,Anthony Gotvald,NCCUM26908,Near 1699 - 1601 Krause Lane,,,NC,Cumberland County,,No,35.1861926,-79.0157895,33533,Little River,26908,283,5,1,Seed line on mobile home that was extended out to pine tree using level line. Pine tree is 15 ft. NE of mobile home.,9/23/2018 4:00:00 AM,168.06,2,6,N/A,18060,6,3.45,3,,Level III Survey,Riverine,9/21/2018 4:00:00 AM,0,2,1829,6,0.09,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
